year ,Abra alba ,Actinia equina ,Ampharete acutifrons ,Ampharete baltica ,Arctica islandica ,Asterias rubens ,Balanus crenatus ,Bylgides sarsi ,Callopora lineata ,Capitella capitata ,Cephalothrix ,Cerastoderma glaucum ,Cirrophorus eliasoni ,Corbula gibba ,Corophium volutator ,Crangon crangon ,Diastylis rathkei ,Electra crustulenta ,Eteone flava ,Eteone longa ,Euchone papillosa ,Eucratea loricata ,Gastrosaccus spinifer ,Gonothyraea loveni ,Halicryptus spinulosus ,Halitholus yoldiaarcticae ,Harmothoe imbricata ,Hartlaubella gelatinosa ,Heteromastus filiformis ,Hydrobia ulvae ,Idotea balthica ,Lagis koreni ,Lepidonotus squamatus ,Levinsenia gracilis ,Lineus ruber ,Macoma balthica ,Malacobdella grossa ,Metridium senile ,Microdeutopus gryllotalpa ,Musculus marmoratus ,Mya arenaria ,Mya truncata ,Mysella bidentata ,Mytilus edulis ,Nemertina ,Nephtys ,Nephtys caeca ,Nephtys ciliata ,Nephtys hombergii ,Nereimyra punctata ,Oligochaeta ,Opercularella pumila ,Ophiura albida ,Paraonis fulgens ,Parvicardium ovale ,Phaxas pellucidus ,Pherusa plumosa ,Philine aperta ,Pholoe ,Pholoe assimilis ,Pholoe baltica ,Pholoe inornata ,Phyllodoce (Anaitides) maculata ,Phyllodoce (Anaitides) mucosa ,Polydora ,Polydora (Polydora) quadrilobata ,Polydora caulleryi ,Polydora ciliata ,Pontoporeia femorata ,Priapulus caudatus ,Pseudopolydora antennata ,Pseudopolydora pulchra ,Pygospio elegans ,Saduria entomon ,Scalibregma inflatum ,Scoloplos armiger ,Streptosyllis websteri ,Terebellides stroemii ,Trochochaeta multisetosa
1984 ,     22.0 ,           0.0 ,                 0.0 ,              0.0 ,             27.0 ,            0.0 ,             0.0 ,           9.0 ,              0.0 ,               0.0 ,         0.0 ,                 0.0 ,                 0.0 ,         35.0 ,                0.0 ,            0.0 ,             40.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,              0.0 ,                  0.0 ,               0.0 ,                  57.0 ,                      0.0 ,                0.0 ,                    0.0 ,                   22.0 ,           0.0 ,            0.0 ,        18.0 ,                  0.0 ,                0.0 ,         0.0 ,            0.0 ,                0.0 ,             0.0 ,                      0.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,           0.0 ,      0.0 ,    0.0 ,          0.0 ,            5.0 ,              0.0 ,               0.0 ,        0.0 ,                 0.0 ,           0.0 ,             5.0 ,               0.0 ,              5.0 ,            0.0 ,           0.0 ,   0.0 ,             0.0 ,           0.0 ,            0.0 ,                            0.0 ,                          0.0 ,     0.0 ,                             5.0 ,               0.0 ,             0.0 ,                 0.0 ,               5.0 ,                     0.0 ,                   0.0 ,             0.0 ,            0.0 ,                 0.0 ,              0.0 ,                   0.0 ,                  0.0 ,                     0.0
1985 ,     11.0 ,           0.0 ,                 0.0 ,              0.0 ,             34.0 ,            0.0 ,             0.0 ,           4.5 ,              0.0 ,               0.0 ,         0.0 ,                 0.0 ,                 0.0 ,         48.0 ,                0.0 ,            0.0 ,             20.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,              0.0 ,                  0.0 ,               0.0 ,                  31.5 ,                      0.0 ,                0.0 ,                    0.0 ,                   40.0 ,           0.0 ,            0.0 ,         9.0 ,                  0.0 ,                0.0 ,         0.0 ,            0.0 ,                0.0 ,             0.0 ,                      0.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,           0.0 ,      0.0 ,    0.0 ,          0.0 ,            2.5 ,              4.5 ,               0.0 ,        0.0 ,                 0.0 ,           0.0 ,             2.5 ,               0.0 ,              2.5 ,            0.0 ,           0.0 ,   0.0 ,             0.0 ,           0.0 ,            0.0 ,                            0.0 ,                          0.0 ,     0.0 ,                             2.5 ,               0.0 ,             0.0 ,                 0.0 ,               2.5 ,                     0.0 ,                   0.0 ,             0.0 ,            0.0 ,                 0.0 ,              0.0 ,                   0.0 ,                  0.0 ,                     7.5
1986 ,      0.0 ,           0.0 ,                 0.0 ,              0.0 ,             41.0 ,            0.0 ,             0.0 ,           0.0 ,              0.0 ,               0.0 ,         0.0 ,                 0.0 ,                 0.0 ,         61.0 ,                0.0 ,            0.0 ,              0.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,              0.0 ,                  0.0 ,               0.0 ,                   6.0 ,                      0.0 ,                0.0 ,                    0.0 ,                   58.0 ,           0.0 ,            0.0 ,         0.0 ,                  0.0 ,                0.0 ,         0.0 ,            0.0 ,                0.0 ,             0.0 ,                      0.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,           0.0 ,      0.0 ,    0.0 ,          0.0 ,            0.0 ,              9.0 ,               0.0 ,        0.0 ,                 0.0 ,           0.0 ,             0.0 ,               0.0 ,              0.0 ,            0.0 ,           0.0 ,   0.0 ,             0.0 ,           0.0 ,            0.0 ,                            0.0 ,                          0.0 ,     0.0 ,                             0.0 ,               0.0 ,             0.0 ,                 0.0 ,               0.0 ,                     0.0 ,                   0.0 ,             0.0 ,            0.0 ,                 0.0 ,              0.0 ,                   0.0 ,                  0.0 ,                    15.0
1987 ,     33.5 ,           0.0 ,                 0.0 ,              6.0 ,             45.5 ,            0.0 ,             0.0 ,          16.0 ,              0.0 ,               1.5 ,         0.0 ,                 0.0 ,                 0.0 ,         38.0 ,                0.0 ,            0.0 ,             12.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,              0.0 ,                  0.0 ,               0.0 ,                   6.0 ,                      0.0 ,                0.0 ,                    0.0 ,                  120.0 ,           0.0 ,            0.0 ,         1.5 ,                  0.0 ,                0.0 ,         0.0 ,            3.0 ,                0.0 ,             1.5 ,                      0.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,           0.0 ,      0.0 ,    0.0 ,          0.0 ,            0.0 ,             10.5 ,               0.0 ,        0.0 ,                 0.0 ,           0.0 ,             0.0 ,               0.0 ,              0.0 ,            0.0 ,           0.0 ,   8.5 ,             0.0 ,           0.0 ,            0.0 ,                            0.0 ,                          0.0 ,     0.0 ,                             1.5 ,               0.0 ,             0.0 ,                 0.0 ,               1.5 ,                     0.0 ,                   0.0 ,             0.0 ,            0.0 ,                 0.0 ,             19.0 ,                   0.0 ,                  0.0 ,                    10.5
1988 ,     67.0 ,           0.0 ,                 0.0 ,             12.0 ,             50.0 ,            0.0 ,             0.0 ,          32.0 ,              0.0 ,               3.0 ,         0.0 ,                 0.0 ,                 0.0 ,         15.0 ,                0.0 ,            0.0 ,             24.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,              0.0 ,                  0.0 ,               0.0 ,                   6.0 ,                      0.0 ,                0.0 ,                    0.0 ,                  182.0 ,           0.0 ,            0.0 ,         3.0 ,                  0.0 ,                0.0 ,         0.0 ,            6.0 ,                0.0 ,             3.0 ,                      0.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,           0.0 ,      0.0 ,    0.0 ,          0.0 ,            0.0 ,             12.0 ,               0.0 ,        0.0 ,                 0.0 ,           0.0 ,             0.0 ,               0.0 ,              0.0 ,            0.0 ,           0.0 ,  17.0 ,             0.0 ,           0.0 ,            0.0 ,                            0.0 ,                          0.0 ,     0.0 ,                             3.0 ,               0.0 ,             0.0 ,                 0.0 ,               3.0 ,                     0.0 ,                   0.0 ,             0.0 ,            0.0 ,                 0.0 ,             38.0 ,                   0.0 ,                  0.0 ,                     6.0
1989 ,      0.0 ,           0.0 ,                 0.0 ,              0.0 ,             97.0 ,            0.0 ,             0.0 ,           3.0 ,              0.0 ,               0.0 ,         0.0 ,               131.0 ,                 0.0 ,          3.0 ,                0.0 ,            0.0 ,             30.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,              0.0 ,                 17.0 ,               0.0 ,                   3.0 ,                      0.0 ,                0.0 ,                    0.0 ,                  148.0 ,           0.0 ,            0.0 ,         0.0 ,                  0.0 ,                0.0 ,         0.0 ,            0.0 ,                0.0 ,             0.0 ,                      0.0 ,                0.0 ,         0.0 ,         0.0 ,             33.0 ,           0.0 ,      0.0 ,    3.0 ,          0.0 ,            0.0 ,             20.0 ,               0.0 ,        0.0 ,                 0.0 ,           0.0 ,             0.0 ,               0.0 ,              0.0 ,            0.0 ,           0.0 ,   3.0 ,             0.0 ,           0.0 ,            0.0 ,                            0.0 ,                          0.0 ,     0.0 ,                             0.0 ,               0.0 ,           185.0 ,                 0.0 ,               3.0 ,                     0.0 ,                   0.0 ,             0.0 ,            0.0 ,                 0.0 ,              0.0 ,                   0.0 ,                  0.0 ,                     0.0
1990 ,      0.0 ,           0.0 ,                 0.0 ,              0.0 ,             29.0 ,            0.0 ,             0.0 ,           3.0 ,              0.0 ,               0.0 ,         0.0 ,                 0.0 ,                 0.0 ,         47.0 ,                0.0 ,            9.0 ,             94.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,              0.0 ,                  0.0 ,               0.0 ,                   6.0 ,                      0.0 ,                0.0 ,                    0.0 ,                   41.0 ,           0.0 ,            0.0 ,        88.0 ,                  0.0 ,                3.0 ,         0.0 ,            0.0 ,                0.0 ,             0.0 ,                      0.0 ,                0.0 ,         9.0 ,         0.0 ,              9.0 ,           0.0 ,      0.0 ,    3.0 ,          0.0 ,            0.0 ,             15.0 ,               0.0 ,        0.0 ,                 0.0 ,           0.0 ,             0.0 ,               0.0 ,              0.0 ,            0.0 ,           0.0 ,   0.0 ,             0.0 ,           0.0 ,            0.0 ,                            0.0 ,                          0.0 ,     0.0 ,                             6.0 ,               0.0 ,             9.0 ,                 0.0 ,               0.0 ,                     0.0 ,                   0.0 ,             0.0 ,            0.0 ,                 0.0 ,              0.0 ,                   0.0 ,                  0.0 ,                     0.0
1991 ,    158.0 ,           0.0 ,                 0.0 ,              0.0 ,             18.0 ,            0.0 ,             0.0 ,           9.0 ,              0.0 ,               0.0 ,         0.0 ,                 0.0 ,                 0.0 ,         58.0 ,                0.0 ,            0.0 ,              6.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,              0.0 ,                  0.0 ,               0.0 ,                   0.0 ,                      0.0 ,                0.0 ,                    0.0 ,                    6.0 ,           0.0 ,            0.0 ,        29.0 ,                  0.0 ,                0.0 ,         0.0 ,            0.0 ,                0.0 ,             0.0 ,                      0.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,           3.0 ,      0.0 ,    0.0 ,          0.0 ,            0.0 ,             26.0 ,               0.0 ,        3.0 ,                 0.0 ,           0.0 ,             0.0 ,               0.0 ,              0.0 ,            0.0 ,           0.0 ,   0.0 ,             0.0 ,           0.0 ,            0.0 ,                            0.0 ,                          0.0 ,     0.0 ,                             0.0 ,               0.0 ,             0.0 ,                 0.0 ,               0.0 ,                     0.0 ,                   0.0 ,             0.0 ,            0.0 ,                 0.0 ,              0.0 ,                   0.0 ,                  0.0 ,                     6.0
1992 ,      0.0 ,           0.0 ,                 0.0 ,              0.0 ,             43.0 ,            0.0 ,             0.0 ,           0.0 ,              0.0 ,               0.0 ,         0.0 ,                 0.0 ,                 0.0 ,        111.0 ,                0.0 ,            2.0 ,             11.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,              0.0 ,                  4.0 ,               0.0 ,                   4.0 ,                      0.0 ,                0.0 ,                    0.0 ,                    0.0 ,           0.0 ,            0.0 ,         0.0 ,                  0.0 ,                0.0 ,         0.0 ,            0.0 ,                0.0 ,             0.0 ,                      0.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,           0.0 ,      0.0 ,    0.0 ,          0.0 ,            0.0 ,              0.0 ,               0.0 ,        0.0 ,                 0.0 ,           0.0 ,             0.0 ,               0.0 ,              0.0 ,            0.0 ,           0.0 ,   0.0 ,             0.0 ,           0.0 ,            0.0 ,                            0.0 ,                          0.0 ,   319.0 ,                             0.0 ,               0.0 ,             0.0 ,                 0.0 ,               0.0 ,                     0.0 ,                   0.0 ,             0.0 ,            2.0 ,                 0.0 ,              0.0 ,                   0.0 ,                  0.0 ,                     0.0
1993 ,      0.0 ,           0.0 ,                 0.0 ,              6.0 ,             57.0 ,            0.0 ,             0.0 ,           0.0 ,              0.0 ,               0.0 ,         0.0 ,                 0.0 ,                 0.0 ,         31.0 ,                3.0 ,            0.0 ,              9.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,              0.0 ,                  3.0 ,               0.0 ,                  25.0 ,                      0.0 ,                0.0 ,                    0.0 ,                    0.0 ,          25.0 ,            0.0 ,         0.0 ,                  0.0 ,                0.0 ,         0.0 ,            0.0 ,                0.0 ,             0.0 ,                      3.0 ,                0.0 ,         0.0 ,         0.0 ,              3.0 ,           3.0 ,      0.0 ,    0.0 ,          3.0 ,            0.0 ,              0.0 ,               0.0 ,        0.0 ,                 0.0 ,           0.0 ,             0.0 ,               0.0 ,              0.0 ,            0.0 ,           0.0 ,   0.0 ,             0.0 ,           0.0 ,            0.0 ,                            0.0 ,                          0.0 ,   160.0 ,                             0.0 ,               0.0 ,             0.0 ,                 0.0 ,               0.0 ,                     0.0 ,                   0.0 ,             9.0 ,            0.0 ,                 0.0 ,              0.0 ,                   0.0 ,                  0.0 ,                     0.0
1994 ,    384.0 ,           0.0 ,                22.0 ,              0.0 ,             85.0 ,            0.0 ,             0.0 ,          19.0 ,              0.0 ,              14.0 ,         0.0 ,                 0.0 ,                 0.0 ,         63.0 ,                0.0 ,            0.0 ,            104.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,              0.0 ,                  6.0 ,               0.0 ,                  22.0 ,                      0.0 ,                0.0 ,                    0.0 ,                   31.0 ,           0.0 ,            0.0 ,       730.0 ,                  0.0 ,                0.0 ,         0.0 ,            0.0 ,                0.0 ,             0.0 ,                      0.0 ,                0.0 ,         6.0 ,         0.0 ,              0.0 ,           3.0 ,      0.0 ,    0.0 ,          0.0 ,            0.0 ,             19.0 ,               0.0 ,        0.0 ,                 0.0 ,           0.0 ,             0.0 ,               0.0 ,              0.0 ,            0.0 ,           0.0 ,   0.0 ,             0.0 ,           0.0 ,            0.0 ,                            0.0 ,                         16.0 ,     0.0 ,                             0.0 ,               0.0 ,           138.0 ,                 0.0 ,               0.0 ,                     0.0 ,                   0.0 ,             0.0 ,            0.0 ,                 0.0 ,             25.0 ,                   0.0 ,                  0.0 ,                    13.0
1995 ,      0.0 ,           0.0 ,                 0.0 ,              0.0 ,             60.0 ,            0.0 ,             0.0 ,           3.0 ,              0.0 ,               0.0 ,         0.0 ,                 0.0 ,                 0.0 ,         13.0 ,                0.0 ,            0.0 ,             31.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,              0.0 ,                  9.0 ,               0.0 ,                  19.0 ,                      0.0 ,                0.0 ,                    0.0 ,                   22.0 ,           0.0 ,            0.0 ,         0.0 ,                  0.0 ,                0.0 ,         0.0 ,            0.0 ,                0.0 ,             0.0 ,                      0.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,           0.0 ,      0.0 ,    0.0 ,          0.0 ,            0.0 ,              6.0 ,               0.0 ,        0.0 ,                 0.0 ,           0.0 ,             6.0 ,               0.0 ,              0.0 ,            0.0 ,           0.0 ,   0.0 ,             0.0 ,           0.0 ,            0.0 ,                            0.0 ,                          0.0 ,     0.0 ,                             3.0 ,               0.0 ,            66.0 ,                 0.0 ,               0.0 ,                     0.0 ,                   0.0 ,             0.0 ,            0.0 ,                 0.0 ,              0.0 ,                   0.0 ,                  0.0 ,                     0.0
1996 ,    139.5 ,           0.0 ,                 6.5 ,              1.0 ,             67.0 ,            0.0 ,             0.0 ,          10.0 ,              0.0 ,               0.0 ,         0.0 ,                 0.0 ,                 0.0 ,          9.5 ,                0.0 ,            0.0 ,            582.5 ,                0.0 ,         0.0 ,         1.0 ,              4.0 ,              0.0 ,                  5.5 ,               0.0 ,                  14.0 ,                      0.0 ,                0.0 ,                    0.0 ,                  124.0 ,           1.0 ,            1.0 ,        69.0 ,                  0.0 ,                0.0 ,         0.0 ,           18.0 ,                0.0 ,             0.0 ,                      0.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,           0.0 ,      4.0 ,    0.0 ,          0.0 ,            4.5 ,             16.0 ,               0.0 ,        0.0 ,                 0.0 ,           0.0 ,             6.0 ,               1.0 ,              0.0 ,            3.0 ,           0.0 ,   0.0 ,             3.0 ,           0.0 ,            0.0 ,                            0.0 ,                          7.5 ,     0.0 ,                             8.0 ,               0.0 ,            33.0 ,                 6.5 ,               0.0 ,                     0.0 ,                   0.0 ,             0.0 ,            0.0 ,                 0.0 ,             77.5 ,                   0.0 ,                 24.5 ,                     4.5
1997 ,    279.0 ,           0.0 ,                13.0 ,              2.0 ,             74.0 ,            0.0 ,             0.0 ,          17.0 ,              0.0 ,               0.0 ,         0.0 ,                 0.0 ,                 0.0 ,          6.0 ,                0.0 ,            0.0 ,           1134.0 ,                0.0 ,         0.0 ,         2.0 ,              8.0 ,              0.0 ,                  2.0 ,               0.0 ,                   9.0 ,                      0.0 ,                0.0 ,                    0.0 ,                  226.0 ,           2.0 ,            2.0 ,       138.0 ,                  0.0 ,                0.0 ,         0.0 ,           36.0 ,                0.0 ,             0.0 ,                      0.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,           0.0 ,      8.0 ,    0.0 ,          0.0 ,            9.0 ,             26.0 ,               0.0 ,        0.0 ,                 0.0 ,           0.0 ,             6.0 ,               2.0 ,              0.0 ,            6.0 ,           0.0 ,   0.0 ,             6.0 ,           0.0 ,            0.0 ,                            0.0 ,                         15.0 ,     0.0 ,                            13.0 ,               0.0 ,             0.0 ,                13.0 ,               0.0 ,                     0.0 ,                   0.0 ,             0.0 ,            0.0 ,                 0.0 ,            155.0 ,                   0.0 ,                 49.0 ,                     9.0
1998 ,    707.0 ,           0.0 ,                 3.0 ,              0.0 ,             82.0 ,            0.0 ,             0.0 ,          34.0 ,              0.0 ,               0.0 ,         0.0 ,                 0.0 ,                 0.0 ,          6.0 ,                0.0 ,            0.0 ,            474.0 ,                0.0 ,         0.0 ,         0.0 ,             85.0 ,              0.0 ,                  0.0 ,               1.0 ,                   3.0 ,                      0.0 ,                0.0 ,                    0.0 ,                  230.0 ,           0.0 ,            0.0 ,        32.0 ,                  0.0 ,                0.0 ,         0.0 ,           48.0 ,                0.0 ,             0.0 ,                      0.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,           3.0 ,      9.0 ,    0.0 ,          0.0 ,           25.0 ,              9.0 ,               0.0 ,        0.0 ,                 1.0 ,           0.0 ,             0.0 ,               0.0 ,              0.0 ,            0.0 ,           0.0 ,   0.0 ,             3.0 ,           9.0 ,            0.0 ,                            0.0 ,                          3.0 ,     0.0 ,                            16.0 ,               0.0 ,             6.0 ,                 3.0 ,               0.0 ,                     0.0 ,                   0.0 ,             0.0 ,            0.0 ,                 3.0 ,             50.0 ,                   0.0 ,                333.0 ,                    88.0
1999 ,    107.0 ,           0.0 ,                 0.0 ,              0.0 ,            119.0 ,            1.0 ,             0.0 ,          16.0 ,              0.0 ,               0.0 ,         0.0 ,                 0.0 ,                 0.0 ,          1.0 ,                0.0 ,            0.0 ,             25.0 ,                0.0 ,         0.0 ,         0.0 ,             41.0 ,              0.0 ,                  0.0 ,               0.0 ,                   3.0 ,                      0.0 ,                0.0 ,                    0.0 ,                   79.0 ,           0.0 ,            0.0 ,         0.0 ,                  0.0 ,                0.0 ,         0.0 ,            9.0 ,                3.0 ,             0.0 ,                      0.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,           0.0 ,      0.0 ,    0.0 ,          0.0 ,           19.0 ,              3.0 ,               0.0 ,        0.0 ,                 1.0 ,           0.0 ,             3.0 ,               0.0 ,              0.0 ,            0.0 ,           0.0 ,   0.0 ,             0.0 ,           0.0 ,            0.0 ,                            0.0 ,                          1.0 ,     0.0 ,                             0.0 ,               0.0 ,             0.0 ,                 0.0 ,               0.0 ,                     0.0 ,                   0.0 ,             0.0 ,            0.0 ,                 0.0 ,              0.0 ,                   0.0 ,                189.0 ,                    16.0
2000 ,   2638.0 ,           0.0 ,                 3.0 ,              0.0 ,            178.0 ,            0.0 ,             0.0 ,          31.0 ,              0.0 ,               0.0 ,         0.0 ,                 0.0 ,                 3.0 ,          3.0 ,                0.0 ,            0.0 ,            332.0 ,                0.0 ,         0.0 ,         3.0 ,              9.0 ,              1.0 ,                  0.0 ,               0.0 ,                   0.0 ,                      0.0 ,                0.0 ,                    0.0 ,                  458.0 ,           0.0 ,            0.0 ,         3.0 ,                  0.0 ,                0.0 ,        15.0 ,            0.0 ,                3.0 ,             1.0 ,                      0.0 ,                0.0 ,         0.0 ,         3.0 ,              0.0 ,           0.0 ,      9.0 ,    0.0 ,          6.0 ,            9.0 ,              9.0 ,               0.0 ,        0.0 ,                 0.0 ,          22.0 ,             0.0 ,               0.0 ,              0.0 ,           19.0 ,           0.0 ,   0.0 ,            18.0 ,           0.0 ,            3.0 ,                            0.0 ,                          0.0 ,     0.0 ,                             6.0 ,               0.0 ,             0.0 ,                 0.0 ,               0.0 ,                     0.0 ,                   0.0 ,             0.0 ,            0.0 ,                12.0 ,             28.0 ,                   0.0 ,               1193.0 ,                   208.0
2001 ,   1016.0 ,           0.0 ,                 0.0 ,             13.0 ,            119.0 ,            1.0 ,             0.0 ,          28.0 ,              0.0 ,               0.0 ,         6.0 ,                 0.0 ,                 0.0 ,          6.0 ,                0.0 ,            0.0 ,            318.0 ,                1.0 ,         3.0 ,         0.0 ,             13.0 ,              1.0 ,                  0.0 ,               0.0 ,                   0.0 ,                      0.0 ,                0.0 ,                    0.0 ,                  252.0 ,           0.0 ,            0.0 ,         9.0 ,                  0.0 ,                0.0 ,        31.0 ,            0.0 ,                0.0 ,             1.0 ,                      0.0 ,                0.0 ,         0.0 ,         0.0 ,             22.0 ,           0.0 ,      0.0 ,    0.0 ,          6.0 ,            6.0 ,             16.0 ,               0.0 ,        0.0 ,                 0.0 ,           6.0 ,             0.0 ,               3.0 ,              0.0 ,            1.0 ,           0.0 ,   0.0 ,            22.0 ,           0.0 ,            0.0 ,                            0.0 ,                          0.0 ,     0.0 ,                             6.0 ,               0.0 ,             0.0 ,                 0.0 ,               0.0 ,                    19.0 ,                   0.0 ,             0.0 ,            0.0 ,                 3.0 ,             88.0 ,                   1.0 ,                226.0 ,                     0.0
2002 ,      0.0 ,           3.0 ,                 0.0 ,              0.0 ,             63.0 ,            0.0 ,             0.0 ,           0.0 ,              0.0 ,               0.0 ,         0.0 ,                 0.0 ,                 0.0 ,          1.0 ,                0.0 ,            0.0 ,              9.0 ,                1.0 ,         0.0 ,         0.0 ,              0.0 ,              0.0 ,                  0.0 ,               0.0 ,                   1.0 ,                      0.0 ,                0.0 ,                    0.0 ,                    3.0 ,           0.0 ,            0.0 ,         0.0 ,                  0.0 ,                0.0 ,         0.0 ,            0.0 ,                0.0 ,             0.0 ,                      0.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,           0.0 ,      0.0 ,    0.0 ,          0.0 ,            0.0 ,              0.0 ,               0.0 ,        0.0 ,                 0.0 ,           0.0 ,             0.0 ,               0.0 ,              0.0 ,            0.0 ,           0.0 ,   0.0 ,             0.0 ,           0.0 ,            0.0 ,                            0.0 ,                          0.0 ,     0.0 ,                             0.0 ,               0.0 ,             0.0 ,                 0.0 ,               0.0 ,                     0.0 ,                   0.0 ,             0.0 ,            0.0 ,                 0.0 ,              0.0 ,                   0.0 ,                  0.0 ,                     0.0
2003 ,    135.0 ,           0.0 ,                 0.0 ,              0.0 ,             28.0 ,            0.0 ,             1.0 ,          50.0 ,              1.0 ,              16.0 ,         0.0 ,                 0.0 ,                 0.0 ,          0.0 ,                0.0 ,            0.0 ,             38.0 ,                1.0 ,         0.0 ,         0.0 ,              0.0 ,              1.0 ,                  3.0 ,               0.0 ,                  28.0 ,                      0.0 ,                0.0 ,                    0.0 ,                    9.0 ,           0.0 ,            0.0 ,       242.0 ,                  0.0 ,                0.0 ,         0.0 ,            0.0 ,                0.0 ,             0.0 ,                      0.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,           1.0 ,      0.0 ,    0.0 ,          0.0 ,            0.0 ,              0.0 ,               0.0 ,        0.0 ,                 0.0 ,           0.0 ,             0.0 ,               0.0 ,              0.0 ,            6.0 ,           0.0 ,   0.0 ,             0.0 ,           0.0 ,            0.0 ,                            0.0 ,                          1.0 ,     0.0 ,                            19.0 ,              16.0 ,             1.0 ,                 0.0 ,              13.0 ,                     0.0 ,                   3.0 ,             0.0 ,            0.0 ,                 0.0 ,             13.0 ,                   0.0 ,                  0.0 ,                     9.0
2004 ,    170.0 ,           0.0 ,                 0.0 ,              3.0 ,             44.0 ,            0.0 ,             3.0 ,          25.0 ,              0.0 ,               0.0 ,         0.0 ,                 0.0 ,                 0.0 ,         25.0 ,                0.0 ,            0.0 ,            890.0 ,                0.0 ,         0.0 ,         0.0 ,              3.0 ,              0.0 ,                  0.0 ,               0.0 ,                  44.0 ,                      1.0 ,                1.0 ,                    1.0 ,                   16.0 ,           0.0 ,            0.0 ,       192.0 ,                  1.0 ,                0.0 ,         0.0 ,            0.0 ,                0.0 ,             0.0 ,                      0.0 ,                1.0 ,         1.0 ,         0.0 ,            145.0 ,           1.0 ,      9.0 ,    0.0 ,          0.0 ,            6.0 ,             38.0 ,               1.0 ,        3.0 ,                 0.0 ,          50.0 ,             6.0 ,               3.0 ,              3.0 ,            1.0 ,           1.0 ,   0.0 ,             9.0 ,           6.0 ,            0.0 ,                            1.0 ,                          6.0 ,     0.0 ,                             6.0 ,               0.0 ,             0.0 ,                 0.0 ,               0.0 ,                     1.0 ,                   0.0 ,             0.0 ,            0.0 ,                50.0 ,             35.0 ,                   0.0 ,                  0.0 ,                    13.0
