site,year,species,latitude,longitude,min_depth,max_depth,abundance,site_id
site_54.32_11.55,1984,Abra alba,54.32,11.55,25.0,25.0,22.0,S0
site_54.32_11.55,1984,Arctica islandica,54.32,11.55,25.0,25.0,27.0,S0
site_54.32_11.55,1984,Bylgides sarsi,54.32,11.55,25.0,25.0,9.0,S0
site_54.32_11.55,1984,Corbula gibba,54.32,11.55,25.0,25.0,35.0,S0
site_54.32_11.55,1984,Diastylis rathkei,54.32,11.55,25.0,25.0,40.0,S0
site_54.32_11.55,1984,Halicryptus spinulosus,54.32,11.55,25.0,25.0,57.0,S0
site_54.32_11.55,1984,Heteromastus filiformis,54.32,11.55,25.0,25.0,22.0,S0
site_54.32_11.55,1984,Lagis koreni,54.32,11.55,25.0,25.0,18.0,S0
site_54.32_11.55,1984,Nephtys ciliata,54.32,11.55,25.0,25.0,5.0,S0
site_54.32_11.55,1984,Paraonis fulgens,54.32,11.55,25.0,25.0,5.0,S0
site_54.32_11.55,1984,Phaxas pellucidus,54.32,11.55,25.0,25.0,5.0,S0
site_54.32_11.55,1984,Polydora (Polydora) quadrilobata,54.32,11.55,25.0,25.0,5.0,S0
site_54.32_11.55,1984,Priapulus caudatus,54.32,11.55,25.0,25.0,5.0,S0
site_54.32_11.55,1985,Abra alba,54.32,11.55,25.0,25.0,11.0,S0
site_54.32_11.55,1985,Arctica islandica,54.32,11.55,25.0,25.0,34.0,S0
site_54.32_11.55,1985,Bylgides sarsi,54.32,11.55,25.0,25.0,4.5,S0
site_54.32_11.55,1985,Corbula gibba,54.32,11.55,25.0,25.0,48.0,S0
site_54.32_11.55,1985,Diastylis rathkei,54.32,11.55,25.0,25.0,20.0,S0
site_54.32_11.55,1985,Halicryptus spinulosus,54.32,11.55,25.0,25.0,31.5,S0
site_54.32_11.55,1985,Heteromastus filiformis,54.32,11.55,25.0,25.0,40.0,S0
site_54.32_11.55,1985,Lagis koreni,54.32,11.55,25.0,25.0,9.0,S0
site_54.32_11.55,1985,Nephtys ciliata,54.32,11.55,25.0,25.0,2.5,S0
site_54.32_11.55,1985,Paraonis fulgens,54.32,11.55,25.0,25.0,2.5,S0
site_54.32_11.55,1985,Phaxas pellucidus,54.32,11.55,25.0,25.0,2.5,S0
site_54.32_11.55,1985,Polydora (Polydora) quadrilobata,54.32,11.55,25.0,25.0,2.5,S0
site_54.32_11.55,1985,Priapulus caudatus,54.32,11.55,25.0,25.0,2.5,S0
site_54.32_11.55,1985,Nephtys hombergii,54.32,11.55,25.0,25.0,4.5,S0
site_54.32_11.55,1985,Trochochaeta multisetosa,54.32,11.55,25.0,25.0,7.5,S0
site_54.32_11.55,1986,Arctica islandica,54.32,11.55,25.0,25.0,41.0,S0
site_54.32_11.55,1986,Corbula gibba,54.32,11.55,25.0,25.0,61.0,S0
site_54.32_11.55,1986,Halicryptus spinulosus,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1986,Heteromastus filiformis,54.32,11.55,25.0,25.0,58.0,S0
site_54.32_11.55,1986,Nephtys hombergii,54.32,11.55,25.0,25.0,9.0,S0
site_54.32_11.55,1986,Trochochaeta multisetosa,54.32,11.55,25.0,25.0,15.0,S0
site_54.32_11.55,1987,Arctica islandica,54.32,11.55,25.0,25.0,45.5,S0
site_54.32_11.55,1987,Corbula gibba,54.32,11.55,25.0,25.0,38.0,S0
site_54.32_11.55,1987,Halicryptus spinulosus,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1987,Heteromastus filiformis,54.32,11.55,25.0,25.0,120.0,S0
site_54.32_11.55,1987,Nephtys hombergii,54.32,11.55,25.0,25.0,10.5,S0
site_54.32_11.55,1987,Trochochaeta multisetosa,54.32,11.55,25.0,25.0,10.5,S0
site_54.32_11.55,1987,Abra alba,54.32,11.55,25.0,25.0,33.5,S0
site_54.32_11.55,1987,Ampharete baltica,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1987,Bylgides sarsi,54.32,11.55,25.0,25.0,16.0,S0
site_54.32_11.55,1987,Capitella capitata,54.32,11.55,25.0,25.0,1.5,S0
site_54.32_11.55,1987,Diastylis rathkei,54.32,11.55,25.0,25.0,12.0,S0
site_54.32_11.55,1987,Lagis koreni,54.32,11.55,25.0,25.0,1.5,S0
site_54.32_11.55,1987,Macoma balthica,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1987,Metridium senile,54.32,11.55,25.0,25.0,1.5,S0
site_54.32_11.55,1987,Pholoe,54.32,11.55,25.0,25.0,8.5,S0
site_54.32_11.55,1987,Polydora (Polydora) quadrilobata,54.32,11.55,25.0,25.0,1.5,S0
site_54.32_11.55,1987,Priapulus caudatus,54.32,11.55,25.0,25.0,1.5,S0
site_54.32_11.55,1987,Scoloplos armiger,54.32,11.55,25.0,25.0,19.0,S0
site_54.32_11.55,1988,Abra alba,54.32,11.55,25.0,25.0,67.0,S0
site_54.32_11.55,1988,Ampharete baltica,54.32,11.55,25.0,25.0,12.0,S0
site_54.32_11.55,1988,Arctica islandica,54.32,11.55,25.0,25.0,50.0,S0
site_54.32_11.55,1988,Bylgides sarsi,54.32,11.55,25.0,25.0,32.0,S0
site_54.32_11.55,1988,Capitella capitata,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1988,Corbula gibba,54.32,11.55,25.0,25.0,15.0,S0
site_54.32_11.55,1988,Diastylis rathkei,54.32,11.55,25.0,25.0,24.0,S0
site_54.32_11.55,1988,Halicryptus spinulosus,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1988,Heteromastus filiformis,54.32,11.55,25.0,25.0,182.0,S0
site_54.32_11.55,1988,Lagis koreni,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1988,Macoma balthica,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1988,Metridium senile,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1988,Nephtys hombergii,54.32,11.55,25.0,25.0,12.0,S0
site_54.32_11.55,1988,Pholoe,54.32,11.55,25.0,25.0,17.0,S0
site_54.32_11.55,1988,Polydora (Polydora) quadrilobata,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1988,Priapulus caudatus,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1988,Scoloplos armiger,54.32,11.55,25.0,25.0,38.0,S0
site_54.32_11.55,1988,Trochochaeta multisetosa,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1989,Arctica islandica,54.32,11.55,25.0,25.0,97.0,S0
site_54.32_11.55,1989,Bylgides sarsi,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1989,Cerastoderma glaucum,54.32,11.55,25.0,25.0,131.0,S0
site_54.32_11.55,1989,Corbula gibba,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1989,Diastylis rathkei,54.32,11.55,25.0,25.0,30.0,S0
site_54.32_11.55,1989,Gastrosaccus spinifer,54.32,11.55,25.0,25.0,17.0,S0
site_54.32_11.55,1989,Halicryptus spinulosus,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1989,Heteromastus filiformis,54.32,11.55,25.0,25.0,148.0,S0
site_54.32_11.55,1989,Mysella bidentata,54.32,11.55,25.0,25.0,33.0,S0
site_54.32_11.55,1989,Nephtys,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1989,Nephtys hombergii,54.32,11.55,25.0,25.0,20.0,S0
site_54.32_11.55,1989,Pholoe,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1989,Polydora ciliata,54.32,11.55,25.0,25.0,185.0,S0
site_54.32_11.55,1989,Priapulus caudatus,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1990,Arctica islandica,54.32,11.55,25.0,25.0,29.0,S0
site_54.32_11.55,1990,Bylgides sarsi,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1990,Corbula gibba,54.32,11.55,25.0,25.0,47.0,S0
site_54.32_11.55,1990,Crangon crangon,54.32,11.55,25.0,25.0,9.0,S0
site_54.32_11.55,1990,Diastylis rathkei,54.32,11.55,25.0,25.0,94.0,S0
site_54.32_11.55,1990,Halicryptus spinulosus,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1990,Heteromastus filiformis,54.32,11.55,25.0,25.0,41.0,S0
site_54.32_11.55,1990,Lagis koreni,54.32,11.55,25.0,25.0,88.0,S0
site_54.32_11.55,1990,Levinsenia gracilis,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1990,Mya arenaria,54.32,11.55,25.0,25.0,9.0,S0
site_54.32_11.55,1990,Mysella bidentata,54.32,11.55,25.0,25.0,9.0,S0
site_54.32_11.55,1990,Nephtys,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1990,Nephtys hombergii,54.32,11.55,25.0,25.0,15.0,S0
site_54.32_11.55,1990,Polydora (Polydora) quadrilobata,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1990,Polydora ciliata,54.32,11.55,25.0,25.0,9.0,S0
site_54.32_11.55,1991,Abra alba,54.32,11.55,25.0,25.0,158.0,S0
site_54.32_11.55,1991,Arctica islandica,54.32,11.55,25.0,25.0,18.0,S0
site_54.32_11.55,1991,Bylgides sarsi,54.32,11.55,25.0,25.0,9.0,S0
site_54.32_11.55,1991,Corbula gibba,54.32,11.55,25.0,25.0,58.0,S0
site_54.32_11.55,1991,Diastylis rathkei,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1991,Heteromastus filiformis,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1991,Lagis koreni,54.32,11.55,25.0,25.0,29.0,S0
site_54.32_11.55,1991,Mytilus edulis,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1991,Nephtys hombergii,54.32,11.55,25.0,25.0,26.0,S0
site_54.32_11.55,1991,Oligochaeta,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1991,Trochochaeta multisetosa,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1992,Arctica islandica,54.32,11.55,25.0,25.0,43.0,S0
site_54.32_11.55,1992,Corbula gibba,54.32,11.55,25.0,25.0,111.0,S0
site_54.32_11.55,1992,Crangon crangon,54.32,11.55,25.0,25.0,2.0,S0
site_54.32_11.55,1992,Diastylis rathkei,54.32,11.55,25.0,25.0,11.0,S0
site_54.32_11.55,1992,Gastrosaccus spinifer,54.32,11.55,25.0,25.0,4.0,S0
site_54.32_11.55,1992,Halicryptus spinulosus,54.32,11.55,25.0,25.0,4.0,S0
site_54.32_11.55,1992,Polydora,54.32,11.55,25.0,25.0,319.0,S0
site_54.32_11.55,1992,Saduria entomon,54.32,11.55,25.0,25.0,2.0,S0
site_54.32_11.55,1993,Ampharete baltica,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1993,Arctica islandica,54.32,11.55,25.0,25.0,57.0,S0
site_54.32_11.55,1993,Corbula gibba,54.32,11.55,25.0,25.0,31.0,S0
site_54.32_11.55,1993,Corophium volutator,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1993,Diastylis rathkei,54.32,11.55,25.0,25.0,9.0,S0
site_54.32_11.55,1993,Gastrosaccus spinifer,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1993,Halicryptus spinulosus,54.32,11.55,25.0,25.0,25.0,S0
site_54.32_11.55,1993,Hydrobia ulvae,54.32,11.55,25.0,25.0,25.0,S0
site_54.32_11.55,1993,Microdeutopus gryllotalpa,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1993,Mysella bidentata,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1993,Mytilus edulis,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1993,Nephtys caeca,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1993,Polydora,54.32,11.55,25.0,25.0,160.0,S0
site_54.32_11.55,1993,Pygospio elegans,54.32,11.55,25.0,25.0,9.0,S0
site_54.32_11.55,1994,Abra alba,54.32,11.55,25.0,25.0,384.0,S0
site_54.32_11.55,1994,Ampharete acutifrons,54.32,11.55,25.0,25.0,22.0,S0
site_54.32_11.55,1994,Arctica islandica,54.32,11.55,25.0,25.0,85.0,S0
site_54.32_11.55,1994,Bylgides sarsi,54.32,11.55,25.0,25.0,19.0,S0
site_54.32_11.55,1994,Capitella capitata,54.32,11.55,25.0,25.0,14.0,S0
site_54.32_11.55,1994,Corbula gibba,54.32,11.55,25.0,25.0,63.0,S0
site_54.32_11.55,1994,Diastylis rathkei,54.32,11.55,25.0,25.0,104.0,S0
site_54.32_11.55,1994,Gastrosaccus spinifer,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1994,Halicryptus spinulosus,54.32,11.55,25.0,25.0,22.0,S0
site_54.32_11.55,1994,Heteromastus filiformis,54.32,11.55,25.0,25.0,31.0,S0
site_54.32_11.55,1994,Lagis koreni,54.32,11.55,25.0,25.0,730.0,S0
site_54.32_11.55,1994,Mya arenaria,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1994,Mytilus edulis,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1994,Nephtys hombergii,54.32,11.55,25.0,25.0,19.0,S0
site_54.32_11.55,1994,Phyllodoce (Anaitides) mucosa,54.32,11.55,25.0,25.0,16.0,S0
site_54.32_11.55,1994,Polydora ciliata,54.32,11.55,25.0,25.0,138.0,S0
site_54.32_11.55,1994,Scoloplos armiger,54.32,11.55,25.0,25.0,25.0,S0
site_54.32_11.55,1994,Trochochaeta multisetosa,54.32,11.55,25.0,25.0,13.0,S0
site_54.32_11.55,1995,Arctica islandica,54.32,11.55,25.0,25.0,60.0,S0
site_54.32_11.55,1995,Bylgides sarsi,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1995,Corbula gibba,54.32,11.55,25.0,25.0,13.0,S0
site_54.32_11.55,1995,Diastylis rathkei,54.32,11.55,25.0,25.0,31.0,S0
site_54.32_11.55,1995,Gastrosaccus spinifer,54.32,11.55,25.0,25.0,9.0,S0
site_54.32_11.55,1995,Halicryptus spinulosus,54.32,11.55,25.0,25.0,19.0,S0
site_54.32_11.55,1995,Heteromastus filiformis,54.32,11.55,25.0,25.0,22.0,S0
site_54.32_11.55,1995,Nephtys hombergii,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1995,Paraonis fulgens,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1995,Polydora (Polydora) quadrilobata,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1995,Polydora ciliata,54.32,11.55,25.0,25.0,66.0,S0
site_54.32_11.55,1996,Arctica islandica,54.32,11.55,25.0,25.0,67.0,S0
site_54.32_11.55,1996,Bylgides sarsi,54.32,11.55,25.0,25.0,10.0,S0
site_54.32_11.55,1996,Corbula gibba,54.32,11.55,25.0,25.0,9.5,S0
site_54.32_11.55,1996,Diastylis rathkei,54.32,11.55,25.0,25.0,582.5,S0
site_54.32_11.55,1996,Gastrosaccus spinifer,54.32,11.55,25.0,25.0,5.5,S0
site_54.32_11.55,1996,Halicryptus spinulosus,54.32,11.55,25.0,25.0,14.0,S0
site_54.32_11.55,1996,Heteromastus filiformis,54.32,11.55,25.0,25.0,124.0,S0
site_54.32_11.55,1996,Nephtys hombergii,54.32,11.55,25.0,25.0,16.0,S0
site_54.32_11.55,1996,Paraonis fulgens,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1996,Polydora (Polydora) quadrilobata,54.32,11.55,25.0,25.0,8.0,S0
site_54.32_11.55,1996,Polydora ciliata,54.32,11.55,25.0,25.0,33.0,S0
site_54.32_11.55,1996,Abra alba,54.32,11.55,25.0,25.0,139.5,S0
site_54.32_11.55,1996,Ampharete acutifrons,54.32,11.55,25.0,25.0,6.5,S0
site_54.32_11.55,1996,Ampharete baltica,54.32,11.55,25.0,25.0,1.0,S0
site_54.32_11.55,1996,Eteone longa,54.32,11.55,25.0,25.0,1.0,S0
site_54.32_11.55,1996,Euchone papillosa,54.32,11.55,25.0,25.0,4.0,S0
site_54.32_11.55,1996,Hydrobia ulvae,54.32,11.55,25.0,25.0,1.0,S0
site_54.32_11.55,1996,Idotea balthica,54.32,11.55,25.0,25.0,1.0,S0
site_54.32_11.55,1996,Lagis koreni,54.32,11.55,25.0,25.0,69.0,S0
site_54.32_11.55,1996,Macoma balthica,54.32,11.55,25.0,25.0,18.0,S0
site_54.32_11.55,1996,Nemertina,54.32,11.55,25.0,25.0,4.0,S0
site_54.32_11.55,1996,Nephtys ciliata,54.32,11.55,25.0,25.0,4.5,S0
site_54.32_11.55,1996,Parvicardium ovale,54.32,11.55,25.0,25.0,1.0,S0
site_54.32_11.55,1996,Pherusa plumosa,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1996,Pholoe assimilis,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1996,Phyllodoce (Anaitides) mucosa,54.32,11.55,25.0,25.0,7.5,S0
site_54.32_11.55,1996,Pontoporeia femorata,54.32,11.55,25.0,25.0,6.5,S0
site_54.32_11.55,1996,Scoloplos armiger,54.32,11.55,25.0,25.0,77.5,S0
site_54.32_11.55,1996,Terebellides stroemii,54.32,11.55,25.0,25.0,24.5,S0
site_54.32_11.55,1996,Trochochaeta multisetosa,54.32,11.55,25.0,25.0,4.5,S0
site_54.32_11.55,1997,Abra alba,54.32,11.55,25.0,25.0,279.0,S0
site_54.32_11.55,1997,Ampharete acutifrons,54.32,11.55,25.0,25.0,13.0,S0
site_54.32_11.55,1997,Ampharete baltica,54.32,11.55,25.0,25.0,2.0,S0
site_54.32_11.55,1997,Arctica islandica,54.32,11.55,25.0,25.0,74.0,S0
site_54.32_11.55,1997,Bylgides sarsi,54.32,11.55,25.0,25.0,17.0,S0
site_54.32_11.55,1997,Corbula gibba,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1997,Diastylis rathkei,54.32,11.55,25.0,25.0,1134.0,S0
site_54.32_11.55,1997,Eteone longa,54.32,11.55,25.0,25.0,2.0,S0
site_54.32_11.55,1997,Euchone papillosa,54.32,11.55,25.0,25.0,8.0,S0
site_54.32_11.55,1997,Gastrosaccus spinifer,54.32,11.55,25.0,25.0,2.0,S0
site_54.32_11.55,1997,Halicryptus spinulosus,54.32,11.55,25.0,25.0,9.0,S0
site_54.32_11.55,1997,Heteromastus filiformis,54.32,11.55,25.0,25.0,226.0,S0
site_54.32_11.55,1997,Hydrobia ulvae,54.32,11.55,25.0,25.0,2.0,S0
site_54.32_11.55,1997,Idotea balthica,54.32,11.55,25.0,25.0,2.0,S0
site_54.32_11.55,1997,Lagis koreni,54.32,11.55,25.0,25.0,138.0,S0
site_54.32_11.55,1997,Macoma balthica,54.32,11.55,25.0,25.0,36.0,S0
site_54.32_11.55,1997,Nemertina,54.32,11.55,25.0,25.0,8.0,S0
site_54.32_11.55,1997,Nephtys ciliata,54.32,11.55,25.0,25.0,9.0,S0
site_54.32_11.55,1997,Nephtys hombergii,54.32,11.55,25.0,25.0,26.0,S0
site_54.32_11.55,1997,Paraonis fulgens,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1997,Parvicardium ovale,54.32,11.55,25.0,25.0,2.0,S0
site_54.32_11.55,1997,Pherusa plumosa,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1997,Pholoe assimilis,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1997,Phyllodoce (Anaitides) mucosa,54.32,11.55,25.0,25.0,15.0,S0
site_54.32_11.55,1997,Polydora (Polydora) quadrilobata,54.32,11.55,25.0,25.0,13.0,S0
site_54.32_11.55,1997,Pontoporeia femorata,54.32,11.55,25.0,25.0,13.0,S0
site_54.32_11.55,1997,Scoloplos armiger,54.32,11.55,25.0,25.0,155.0,S0
site_54.32_11.55,1997,Terebellides stroemii,54.32,11.55,25.0,25.0,49.0,S0
site_54.32_11.55,1997,Trochochaeta multisetosa,54.32,11.55,25.0,25.0,9.0,S0
site_54.32_11.55,1998,Abra alba,54.32,11.55,50.0,50.0,707.0,S0
site_54.32_11.55,1998,Ampharete acutifrons,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1998,Arctica islandica,54.32,11.55,50.0,50.0,82.0,S0
site_54.32_11.55,1998,Bylgides sarsi,54.32,11.55,50.0,50.0,34.0,S0
site_54.32_11.55,1998,Corbula gibba,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1998,Diastylis rathkei,54.32,11.55,50.0,50.0,474.0,S0
site_54.32_11.55,1998,Euchone papillosa,54.32,11.55,25.0,25.0,85.0,S0
site_54.32_11.55,1998,Gonothyraea loveni,54.32,11.55,25.0,25.0,1.0,S0
site_54.32_11.55,1998,Halicryptus spinulosus,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1998,Heteromastus filiformis,54.32,11.55,50.0,50.0,230.0,S0
site_54.32_11.55,1998,Lagis koreni,54.32,11.55,50.0,50.0,32.0,S0
site_54.32_11.55,1998,Macoma balthica,54.32,11.55,50.0,50.0,48.0,S0
site_54.32_11.55,1998,Mytilus edulis,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1998,Nemertina,54.32,11.55,25.0,25.0,9.0,S0
site_54.32_11.55,1998,Nephtys ciliata,54.32,11.55,50.0,50.0,25.0,S0
site_54.32_11.55,1998,Nephtys hombergii,54.32,11.55,50.0,50.0,9.0,S0
site_54.32_11.55,1998,Opercularella pumila,54.32,11.55,25.0,25.0,1.0,S0
site_54.32_11.55,1998,Pholoe assimilis,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1998,Pholoe baltica,54.32,11.55,50.0,50.0,9.0,S0
site_54.32_11.55,1998,Phyllodoce (Anaitides) mucosa,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1998,Polydora (Polydora) quadrilobata,54.32,11.55,50.0,50.0,16.0,S0
site_54.32_11.55,1998,Polydora ciliata,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1998,Pontoporeia femorata,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1998,Scalibregma inflatum,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1998,Scoloplos armiger,54.32,11.55,50.0,50.0,50.0,S0
site_54.32_11.55,1998,Terebellides stroemii,54.32,11.55,50.0,50.0,333.0,S0
site_54.32_11.55,1998,Trochochaeta multisetosa,54.32,11.55,25.0,25.0,88.0,S0
site_54.32_11.55,1999,Abra alba,54.32,11.55,25.0,25.0,107.0,S0
site_54.32_11.55,1999,Arctica islandica,54.32,11.55,25.0,25.0,119.0,S0
site_54.32_11.55,1999,Asterias rubens,54.32,11.55,25.0,25.0,1.0,S0
site_54.32_11.55,1999,Bylgides sarsi,54.32,11.55,25.0,25.0,16.0,S0
site_54.32_11.55,1999,Corbula gibba,54.32,11.55,25.0,25.0,1.0,S0
site_54.32_11.55,1999,Diastylis rathkei,54.32,11.55,25.0,25.0,25.0,S0
site_54.32_11.55,1999,Euchone papillosa,54.32,11.55,25.0,25.0,41.0,S0
site_54.32_11.55,1999,Halicryptus spinulosus,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1999,Heteromastus filiformis,54.32,11.55,25.0,25.0,79.0,S0
site_54.32_11.55,1999,Macoma balthica,54.32,11.55,25.0,25.0,9.0,S0
site_54.32_11.55,1999,Malacobdella grossa,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1999,Nephtys ciliata,54.32,11.55,25.0,25.0,19.0,S0
site_54.32_11.55,1999,Nephtys hombergii,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1999,Opercularella pumila,54.32,11.55,25.0,25.0,1.0,S0
site_54.32_11.55,1999,Paraonis fulgens,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1999,Phyllodoce (Anaitides) mucosa,54.32,11.55,25.0,25.0,1.0,S0
site_54.32_11.55,1999,Terebellides stroemii,54.32,11.55,25.0,25.0,189.0,S0
site_54.32_11.55,1999,Trochochaeta multisetosa,54.32,11.55,25.0,25.0,16.0,S0
site_54.32_11.55,2000,Abra alba,54.32,11.55,50.0,50.0,2638.0,S0
site_54.32_11.55,2000,Ampharete acutifrons,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,2000,Arctica islandica,54.32,11.55,50.0,50.0,178.0,S0
site_54.32_11.55,2000,Bylgides sarsi,54.32,11.55,25.0,25.0,31.0,S0
site_54.32_11.55,2000,Cirrophorus eliasoni,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,2000,Corbula gibba,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,2000,Diastylis rathkei,54.32,11.55,50.0,50.0,332.0,S0
site_54.32_11.55,2000,Eteone longa,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,2000,Euchone papillosa,54.32,11.55,25.0,25.0,9.0,S0
site_54.32_11.55,2000,Eucratea loricata,54.32,11.55,25.0,25.0,1.0,S0
site_54.32_11.55,2000,Heteromastus filiformis,54.32,11.55,50.0,50.0,458.0,S0
site_54.32_11.55,2000,Lagis koreni,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,2000,Lineus ruber,54.32,11.55,50.0,50.0,15.0,S0
site_54.32_11.55,2000,Malacobdella grossa,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,2000,Metridium senile,54.32,11.55,25.0,25.0,1.0,S0
site_54.32_11.55,2000,Mya truncata,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,2000,Nemertina,54.32,11.55,50.0,50.0,9.0,S0
site_54.32_11.55,2000,Nephtys caeca,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,2000,Nephtys ciliata,54.32,11.55,50.0,50.0,9.0,S0
site_54.32_11.55,2000,Nephtys hombergii,54.32,11.55,25.0,25.0,9.0,S0
site_54.32_11.55,2000,Ophiura albida,54.32,11.55,50.0,50.0,22.0,S0
site_54.32_11.55,2000,Pherusa plumosa,54.32,11.55,50.0,50.0,19.0,S0
