site,year,species,latitude,longitude,min_depth,max_depth,abundance
site_54.32_11.55,1994,Abra alba,54.32,11.55,25.0,25.0,384
site_54.32_11.55,1994,Ampharete acutifrons,54.32,11.55,25.0,25.0,22
site_54.32_11.55,1994,Arctica islandica,54.32,11.55,25.0,25.0,85
site_54.32_11.55,1994,Bylgides sarsi,54.32,11.55,25.0,25.0,19
site_54.32_11.55,1994,Capitella capitata,54.32,11.55,25.0,25.0,14
site_54.32_11.55,1994,Corbula gibba,54.32,11.55,25.0,25.0,63
site_54.32_11.55,1994,Diastylis rathkei,54.32,11.55,25.0,25.0,104
site_54.32_11.55,1994,Gastrosaccus spinifer,54.32,11.55,25.0,25.0,6
site_54.32_11.55,1994,Halicryptus spinulosus,54.32,11.55,25.0,25.0,22
site_54.32_11.55,1994,Heteromastus filiformis,54.32,11.55,25.0,25.0,31
site_54.32_11.55,1994,Lagis koreni,54.32,11.55,25.0,25.0,730
site_54.32_11.55,1994,Mya arenaria,54.32,11.55,25.0,25.0,6
site_54.32_11.55,1994,Mytilus edulis,54.32,11.55,25.0,25.0,3
site_54.32_11.55,1994,Nephtys hombergii,54.32,11.55,25.0,25.0,19
site_54.32_11.55,1994,Phyllodoce (Anaitides) mucosa,54.32,11.55,25.0,25.0,16
site_54.32_11.55,1994,Polydora ciliata,54.32,11.55,25.0,25.0,138
site_54.32_11.55,1994,Scoloplos armiger,54.32,11.55,25.0,25.0,25
site_54.32_11.55,1994,Trochochaeta multisetosa,54.32,11.55,25.0,25.0,13
site_54.32_11.55,1995,Arctica islandica,54.32,11.55,25.0,25.0,60
site_54.32_11.55,1995,Bylgides sarsi,54.32,11.55,25.0,25.0,3
site_54.32_11.55,1995,Corbula gibba,54.32,11.55,25.0,25.0,13
site_54.32_11.55,1995,Diastylis rathkei,54.32,11.55,25.0,25.0,31
site_54.32_11.55,1995,Gastrosaccus spinifer,54.32,11.55,25.0,25.0,9
site_54.32_11.55,1995,Halicryptus spinulosus,54.32,11.55,25.0,25.0,19
site_54.32_11.55,1995,Heteromastus filiformis,54.32,11.55,25.0,25.0,22
site_54.32_11.55,1995,Nephtys hombergii,54.32,11.55,25.0,25.0,6
site_54.32_11.55,1995,Paraonis fulgens,54.32,11.55,25.0,25.0,6
site_54.32_11.55,1995,Polydora (Polydora) quadrilobata,54.32,11.55,25.0,25.0,3
site_54.32_11.55,1995,Polydora ciliata,54.32,11.55,25.0,25.0,66
site_54.32_11.55,1997,Abra alba,54.32,11.55,25.0,25.0,279
site_54.32_11.55,1997,Ampharete acutifrons,54.32,11.55,25.0,25.0,13
site_54.32_11.55,1997,Ampharete baltica,54.32,11.55,25.0,25.0,2
site_54.32_11.55,1997,Arctica islandica,54.32,11.55,25.0,25.0,74
site_54.32_11.55,1997,Bylgides sarsi,54.32,11.55,25.0,25.0,17
site_54.32_11.55,1997,Corbula gibba,54.32,11.55,25.0,25.0,6
site_54.32_11.55,1997,Diastylis rathkei,54.32,11.55,25.0,25.0,1134
site_54.32_11.55,1997,Eteone longa,54.32,11.55,25.0,25.0,2
site_54.32_11.55,1997,Euchone papillosa,54.32,11.55,25.0,25.0,8
site_54.32_11.55,1997,Gastrosaccus spinifer,54.32,11.55,25.0,25.0,2
site_54.32_11.55,1997,Halicryptus spinulosus,54.32,11.55,25.0,25.0,9
site_54.32_11.55,1997,Heteromastus filiformis,54.32,11.55,25.0,25.0,226
site_54.32_11.55,1997,Hydrobia ulvae,54.32,11.55,25.0,25.0,2
site_54.32_11.55,1997,Idotea balthica,54.32,11.55,25.0,25.0,2
site_54.32_11.55,1997,Lagis koreni,54.32,11.55,25.0,25.0,138
site_54.32_11.55,1997,Macoma balthica,54.32,11.55,25.0,25.0,36
site_54.32_11.55,1997,Nemertina,54.32,11.55,25.0,25.0,8
site_54.32_11.55,1997,Nephtys ciliata,54.32,11.55,25.0,25.0,9
site_54.32_11.55,1997,Nephtys hombergii,54.32,11.55,25.0,25.0,26
site_54.32_11.55,1997,Paraonis fulgens,54.32,11.55,25.0,25.0,6
site_54.32_11.55,1997,Parvicardium ovale,54.32,11.55,25.0,25.0,2
site_54.32_11.55,1997,Pherusa plumosa,54.32,11.55,25.0,25.0,6
site_54.32_11.55,1997,Pholoe assimilis,54.32,11.55,25.0,25.0,6
site_54.32_11.55,1997,Phyllodoce (Anaitides) mucosa,54.32,11.55,25.0,25.0,15
site_54.32_11.55,1997,Polydora (Polydora) quadrilobata,54.32,11.55,25.0,25.0,13
site_54.32_11.55,1997,Pontoporeia femorata,54.32,11.55,25.0,25.0,13
site_54.32_11.55,1997,Scoloplos armiger,54.32,11.55,25.0,25.0,155
site_54.32_11.55,1997,Terebellides stroemii,54.32,11.55,25.0,25.0,49
site_54.32_11.55,1997,Trochochaeta multisetosa,54.32,11.55,25.0,25.0,9
site_54.32_11.55,1998,Abra alba,54.32,11.55,50.0,50.0,707
site_54.32_11.55,1998,Ampharete acutifrons,54.32,11.55,25.0,25.0,3
site_54.32_11.55,1998,Arctica islandica,54.32,11.55,50.0,50.0,82
site_54.32_11.55,1998,Bylgides sarsi,54.32,11.55,50.0,50.0,34
site_54.32_11.55,1998,Corbula gibba,54.32,11.55,25.0,25.0,6
site_54.32_11.55,1998,Diastylis rathkei,54.32,11.55,50.0,50.0,474
site_54.32_11.55,1998,Euchone papillosa,54.32,11.55,25.0,25.0,85
site_54.32_11.55,1998,Gonothyraea loveni,54.32,11.55,25.0,25.0,1
site_54.32_11.55,1998,Halicryptus spinulosus,54.32,11.55,25.0,25.0,3
site_54.32_11.55,1998,Heteromastus filiformis,54.32,11.55,50.0,50.0,230
site_54.32_11.55,1998,Lagis koreni,54.32,11.55,50.0,50.0,32
site_54.32_11.55,1998,Macoma balthica,54.32,11.55,50.0,50.0,48
site_54.32_11.55,1998,Mytilus edulis,54.32,11.55,25.0,25.0,3
site_54.32_11.55,1998,Nemertina,54.32,11.55,25.0,25.0,9
site_54.32_11.55,1998,Nephtys ciliata,54.32,11.55,50.0,50.0,25
site_54.32_11.55,1998,Nephtys hombergii,54.32,11.55,50.0,50.0,9
site_54.32_11.55,1998,Opercularella pumila,54.32,11.55,25.0,25.0,1
site_54.32_11.55,1998,Pholoe assimilis,54.32,11.55,25.0,25.0,3
site_54.32_11.55,1998,Pholoe baltica,54.32,11.55,50.0,50.0,9
site_54.32_11.55,1998,Phyllodoce (Anaitides) mucosa,54.32,11.55,25.0,25.0,3
site_54.32_11.55,1998,Polydora (Polydora) quadrilobata,54.32,11.55,50.0,50.0,16
site_54.32_11.55,1998,Polydora ciliata,54.32,11.55,25.0,25.0,6
site_54.32_11.55,1998,Pontoporeia femorata,54.32,11.55,25.0,25.0,3
site_54.32_11.55,1998,Scalibregma inflatum,54.32,11.55,25.0,25.0,3
site_54.32_11.55,1998,Scoloplos armiger,54.32,11.55,50.0,50.0,50
site_54.32_11.55,1998,Terebellides stroemii,54.32,11.55,50.0,50.0,333
site_54.32_11.55,1998,Trochochaeta multisetosa,54.32,11.55,25.0,25.0,88
site_54.32_11.55,1999,Abra alba,54.32,11.55,25.0,25.0,107
site_54.32_11.55,1999,Arctica islandica,54.32,11.55,25.0,25.0,119
site_54.32_11.55,1999,Asterias rubens,54.32,11.55,25.0,25.0,1
site_54.32_11.55,1999,Bylgides sarsi,54.32,11.55,25.0,25.0,16
site_54.32_11.55,1999,Corbula gibba,54.32,11.55,25.0,25.0,1
site_54.32_11.55,1999,Diastylis rathkei,54.32,11.55,25.0,25.0,25
site_54.32_11.55,1999,Euchone papillosa,54.32,11.55,25.0,25.0,41
site_54.32_11.55,1999,Halicryptus spinulosus,54.32,11.55,25.0,25.0,3
site_54.32_11.55,1999,Heteromastus filiformis,54.32,11.55,25.0,25.0,79
site_54.32_11.55,1999,Macoma balthica,54.32,11.55,25.0,25.0,9
site_54.32_11.55,1999,Malacobdella grossa,54.32,11.55,25.0,25.0,3
site_54.32_11.55,1999,Nephtys ciliata,54.32,11.55,25.0,25.0,19
site_54.32_11.55,1999,Nephtys hombergii,54.32,11.55,25.0,25.0,3
site_54.32_11.55,1999,Opercularella pumila,54.32,11.55,25.0,25.0,1
site_54.32_11.55,1999,Paraonis fulgens,54.32,11.55,25.0,25.0,3
site_54.32_11.55,1999,Phyllodoce (Anaitides) mucosa,54.32,11.55,25.0,25.0,1
site_54.32_11.55,1999,Terebellides stroemii,54.32,11.55,25.0,25.0,189
site_54.32_11.55,1999,Trochochaeta multisetosa,54.32,11.55,25.0,25.0,16
site_54.32_11.55,2000,Abra alba,54.32,11.55,50.0,50.0,2638
site_54.32_11.55,2000,Ampharete acutifrons,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2000,Arctica islandica,54.32,11.55,50.0,50.0,178
site_54.32_11.55,2000,Bylgides sarsi,54.32,11.55,25.0,25.0,31
site_54.32_11.55,2000,Cirrophorus eliasoni,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2000,Corbula gibba,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2000,Diastylis rathkei,54.32,11.55,50.0,50.0,332
site_54.32_11.55,2000,Eteone longa,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2000,Euchone papillosa,54.32,11.55,25.0,25.0,9
site_54.32_11.55,2000,Eucratea loricata,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2000,Heteromastus filiformis,54.32,11.55,50.0,50.0,458
site_54.32_11.55,2000,Lagis koreni,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2000,Lineus ruber,54.32,11.55,50.0,50.0,15
site_54.32_11.55,2000,Malacobdella grossa,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2000,Metridium senile,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2000,Mya truncata,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2000,Nemertina,54.32,11.55,50.0,50.0,9
site_54.32_11.55,2000,Nephtys caeca,54.32,11.55,25.0,25.0,6
site_54.32_11.55,2000,Nephtys ciliata,54.32,11.55,50.0,50.0,9
site_54.32_11.55,2000,Nephtys hombergii,54.32,11.55,25.0,25.0,9
site_54.32_11.55,2000,Ophiura albida,54.32,11.55,50.0,50.0,22
site_54.32_11.55,2000,Pherusa plumosa,54.32,11.55,50.0,50.0,19
site_54.32_11.55,2000,Pholoe assimilis,54.32,11.55,50.0,50.0,18
site_54.32_11.55,2000,Pholoe inornata,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2000,Polydora (Polydora) quadrilobata,54.32,11.55,25.0,25.0,6
site_54.32_11.55,2000,Scalibregma inflatum,54.32,11.55,25.0,25.0,12
site_54.32_11.55,2000,Scoloplos armiger,54.32,11.55,50.0,50.0,28
site_54.32_11.55,2000,Terebellides stroemii,54.32,11.55,50.0,50.0,1193
site_54.32_11.55,2000,Trochochaeta multisetosa,54.32,11.55,50.0,50.0,208
site_54.32_11.55,2001,Abra alba,54.32,11.55,25.0,25.0,1016
site_54.32_11.55,2001,Ampharete baltica,54.32,11.55,25.0,25.0,13
site_54.32_11.55,2001,Arctica islandica,54.32,11.55,25.0,25.0,119
site_54.32_11.55,2001,Asterias rubens,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2001,Bylgides sarsi,54.32,11.55,25.0,25.0,28
site_54.32_11.55,2001,Cephalothrix,54.32,11.55,25.0,25.0,6
site_54.32_11.55,2001,Corbula gibba,54.32,11.55,25.0,25.0,6
site_54.32_11.55,2001,Diastylis rathkei,54.32,11.55,25.0,25.0,318
site_54.32_11.55,2001,Electra crustulenta,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2001,Eteone flava,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2001,Euchone papillosa,54.32,11.55,25.0,25.0,13
site_54.32_11.55,2001,Eucratea loricata,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2001,Heteromastus filiformis,54.32,11.55,25.0,25.0,252
site_54.32_11.55,2001,Lagis koreni,54.32,11.55,25.0,25.0,9
site_54.32_11.55,2001,Lineus ruber,54.32,11.55,25.0,25.0,31
site_54.32_11.55,2001,Metridium senile,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2001,Mysella bidentata,54.32,11.55,25.0,25.0,22
site_54.32_11.55,2001,Nephtys caeca,54.32,11.55,25.0,25.0,6
site_54.32_11.55,2001,Nephtys ciliata,54.32,11.55,25.0,25.0,6
site_54.32_11.55,2001,Nephtys hombergii,54.32,11.55,25.0,25.0,16
site_54.32_11.55,2001,Ophiura albida,54.32,11.55,25.0,25.0,6
site_54.32_11.55,2001,Parvicardium ovale,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2001,Pherusa plumosa,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2001,Pholoe assimilis,54.32,11.55,25.0,25.0,22
site_54.32_11.55,2001,Polydora (Polydora) quadrilobata,54.32,11.55,25.0,25.0,6
site_54.32_11.55,2001,Pseudopolydora antennata,54.32,11.55,25.0,25.0,19
site_54.32_11.55,2001,Scalibregma inflatum,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2001,Scoloplos armiger,54.32,11.55,25.0,25.0,88
site_54.32_11.55,2001,Streptosyllis websteri,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2001,Terebellides stroemii,54.32,11.55,25.0,25.0,226
site_54.32_11.55,2002,Actinia equina,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2002,Arctica islandica,54.32,11.55,25.0,25.0,63
site_54.32_11.55,2002,Corbula gibba,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2002,Diastylis rathkei,54.32,11.55,25.0,25.0,9
site_54.32_11.55,2002,Electra crustulenta,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2002,Halicryptus spinulosus,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2002,Heteromastus filiformis,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2003,Abra alba,54.32,11.55,25.0,25.0,135
site_54.32_11.55,2003,Arctica islandica,54.32,11.55,25.0,25.0,28
site_54.32_11.55,2003,Balanus crenatus,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2003,Bylgides sarsi,54.32,11.55,25.0,25.0,50
site_54.32_11.55,2003,Callopora lineata,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2003,Capitella capitata,54.32,11.55,25.0,25.0,16
site_54.32_11.55,2003,Diastylis rathkei,54.32,11.55,25.0,25.0,38
site_54.32_11.55,2003,Electra crustulenta,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2003,Eucratea loricata,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2003,Gastrosaccus spinifer,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2003,Halicryptus spinulosus,54.32,11.55,25.0,25.0,28
site_54.32_11.55,2003,Heteromastus filiformis,54.32,11.55,25.0,25.0,9
site_54.32_11.55,2003,Lagis koreni,54.32,11.55,25.0,25.0,242
site_54.32_11.55,2003,Mytilus edulis,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2003,Pherusa plumosa,54.32,11.55,25.0,25.0,6
site_54.32_11.55,2003,Phyllodoce (Anaitides) mucosa,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2003,Polydora (Polydora) quadrilobata,54.32,11.55,25.0,25.0,19
site_54.32_11.55,2003,Polydora caulleryi,54.32,11.55,25.0,25.0,16
site_54.32_11.55,2003,Polydora ciliata,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2003,Priapulus caudatus,54.32,11.55,25.0,25.0,13
site_54.32_11.55,2003,Pseudopolydora pulchra,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2003,Scoloplos armiger,54.32,11.55,25.0,25.0,13
site_54.32_11.55,2003,Trochochaeta multisetosa,54.32,11.55,25.0,25.0,9
site_54.32_11.55,2004,Abra alba,54.32,11.55,25.0,25.0,170
site_54.32_11.55,2004,Ampharete baltica,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2004,Arctica islandica,54.32,11.55,25.0,25.0,44
site_54.32_11.55,2004,Balanus crenatus,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2004,Bylgides sarsi,54.32,11.55,25.0,25.0,25
site_54.32_11.55,2004,Corbula gibba,54.32,11.55,25.0,25.0,25
site_54.32_11.55,2004,Diastylis rathkei,54.32,11.55,25.0,25.0,890
site_54.32_11.55,2004,Euchone papillosa,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2004,Halicryptus spinulosus,54.32,11.55,25.0,25.0,44
site_54.32_11.55,2004,Halitholus yoldiaarcticae,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2004,Harmothoe imbricata,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2004,Hartlaubella gelatinosa,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2004,Heteromastus filiformis,54.32,11.55,25.0,25.0,16
site_54.32_11.55,2004,Lagis koreni,54.32,11.55,25.0,25.0,192
site_54.32_11.55,2004,Lepidonotus squamatus,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2004,Musculus marmoratus,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2004,Mya arenaria,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2004,Mysella bidentata,54.32,11.55,25.0,25.0,145
site_54.32_11.55,2004,Mytilus edulis,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2004,Nemertina,54.32,11.55,25.0,25.0,9
site_54.32_11.55,2004,Nephtys ciliata,54.32,11.55,25.0,25.0,6
site_54.32_11.55,2004,Nephtys hombergii,54.32,11.55,25.0,25.0,38
site_54.32_11.55,2004,Nereimyra punctata,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2004,Oligochaeta,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2004,Ophiura albida,54.32,11.55,25.0,25.0,50
site_54.32_11.55,2004,Paraonis fulgens,54.32,11.55,25.0,25.0,6
site_54.32_11.55,2004,Parvicardium ovale,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2004,Phaxas pellucidus,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2004,Pherusa plumosa,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2004,Philine aperta,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2004,Pholoe assimilis,54.32,11.55,25.0,25.0,9
site_54.32_11.55,2004,Pholoe baltica,54.32,11.55,25.0,25.0,6
site_54.32_11.55,2004,Phyllodoce (Anaitides) maculata,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2004,Phyllodoce (Anaitides) mucosa,54.32,11.55,25.0,25.0,6
site_54.32_11.55,2004,Polydora (Polydora) quadrilobata,54.32,11.55,25.0,25.0,6
site_54.32_11.55,2004,Pseudopolydora antennata,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2004,Scalibregma inflatum,54.32,11.55,25.0,25.0,50
site_54.32_11.55,2004,Scoloplos armiger,54.32,11.55,25.0,25.0,35
site_54.32_11.55,2004,Trochochaeta multisetosa,54.32,11.55,25.0,25.0,13
site_54.63_14.28,1994,Aricidea suecica,54.63,14.28,31.0,31.0,1
site_54.63_14.28,1994,Bathyporeia pilosa,54.63,14.28,31.0,31.0,2
site_54.63_14.28,1994,Bylgides sarsi,54.63,14.28,31.0,31.0,17
site_54.63_14.28,1994,Diastylis rathkei,54.63,14.28,31.0,31.0,144
site_54.63_14.28,1994,Halicryptus spinulosus,54.63,14.28,31.0,31.0,48
site_54.63_14.28,1994,Hydrobia ulvae,54.63,14.28,31.0,31.0,91
site_54.63_14.28,1994,Macoma balthica,54.63,14.28,31.0,31.0,2247
site_54.63_14.28,1994,Marenzelleria neglecta,54.63,14.28,31.0,31.0,6
site_54.63_14.28,1994,Mya arenaria,54.63,14.28,31.0,31.0,22
site_54.63_14.28,1994,Mytilus edulis,54.63,14.28,31.0,31.0,222
site_54.63_14.28,1994,Oligochaeta,54.63,14.28,31.0,31.0,454
site_54.63_14.28,1994,Pygospio elegans,54.63,14.28,31.0,31.0,7240
site_54.63_14.28,1994,Scoloplos armiger,54.63,14.28,31.0,31.0,23
site_54.63_14.28,1994,Travisia forbesii,54.63,14.28,31.0,31.0,5
site_54.63_14.28,1995,Bathyporeia pilosa,54.63,14.28,31.0,31.0,4
site_54.63_14.28,1995,Bylgides sarsi,54.63,14.28,31.0,31.0,80
site_54.63_14.28,1995,Corophium volutator,54.63,14.28,31.0,31.0,6
site_54.63_14.28,1995,Crangon crangon,54.63,14.28,31.0,31.0,4
site_54.63_14.28,1995,Diastylis rathkei,54.63,14.28,31.0,31.0,599
site_54.63_14.28,1995,Gammarus salinus,54.63,14.28,31.0,31.0,85
site_54.63_14.28,1995,Gammarus zaddachi,54.63,14.28,31.0,31.0,3
site_54.63_14.28,1995,Halicryptus spinulosus,54.63,14.28,31.0,31.0,54
site_54.63_14.28,1995,Hediste diversicolor,54.63,14.28,31.0,31.0,2
site_54.63_14.28,1995,Hydrobia ulvae,54.63,14.28,31.0,31.0,178
site_54.63_14.28,1995,Jaera albifrons,54.63,14.28,31.0,31.0,9
site_54.63_14.28,1995,Macoma balthica,54.63,14.28,31.0,31.0,1846
site_54.63_14.28,1995,Marenzelleria neglecta,54.63,14.28,31.0,31.0,5
site_54.63_14.28,1995,Mya arenaria,54.63,14.28,31.0,31.0,45
site_54.63_14.28,1995,Mysis mixta,54.63,14.28,31.0,31.0,1
site_54.63_14.28,1995,Mytilus edulis,54.63,14.28,31.0,31.0,663
site_54.63_14.28,1995,Oligochaeta,54.63,14.28,31.0,31.0,425
site_54.63_14.28,1995,Pontoporeia femorata,54.63,14.28,31.0,31.0,1
site_54.63_14.28,1995,Pygospio elegans,54.63,14.28,31.0,31.0,8319
site_54.63_14.28,1995,Saduria entomon,54.63,14.28,31.0,31.0,2
site_54.63_14.28,1995,Scoloplos armiger,54.63,14.28,31.0,31.0,10
site_54.63_14.28,1995,Travisia forbesii,54.63,14.28,31.0,31.0,4
site_54.63_14.28,1997,Bylgides sarsi,54.63,14.28,31.0,31.0,7
site_54.63_14.28,1997,Diastylis rathkei,54.63,14.28,31.0,31.0,112
site_54.63_14.28,1997,Halicryptus spinulosus,54.63,14.28,31.0,31.0,82
site_54.63_14.28,1997,Hydrobia ulvae,54.63,14.28,31.0,31.0,17
site_54.63_14.28,1997,Laomedea flexuosa,54.63,14.28,31.0,31.0,1
site_54.63_14.28,1997,Macoma balthica,54.63,14.28,31.0,31.0,1503
site_54.63_14.28,1997,Mya arenaria,54.63,14.28,31.0,31.0,48
site_54.63_14.28,1997,Mytilus edulis,54.63,14.28,31.0,31.0,340
site_54.63_14.28,1997,Oligochaeta,54.63,14.28,31.0,31.0,20
